author,fname,lname,gender,pubtitle,date,id
"Reece, Amber",Amber, Reece,female,Journal of College Student Retention-Research Theory & Practice,2016,1411
"Simpson, Amber",Amber,Simpson,female,Journal of Science Education and Technology,2017,1655
"Hroch, Amber",Amber, Hroch,female,Research in Higher Education,2016,1743
"Villasenor, Amelia",Amelia, Villasenor,female,American Journal of Physical Anthropology,2018,872
"Villablanca, Amparo",Amparo,Villablanca,female,Journal of Women's Health,2011,1022
"Hietapelto, Amy",Amy, Hietapelto,female,Change,2013,1196
"Graves, Amy",Amy,Graves,female,Journal of Women and Minorities in Science and Engineering,2017,416
"Bergerson, Amy",Amy, Bergerson,female,Journal of Career Assessment,2013,1379
"Justice, Amy",Amy, Justice,female,Academic Medicine,2018,369
"Dawson, Amy",Amy,Dawson,female,New Directions for Higher Education,2015,935
"Williams, Amy",Amy, Williams,female,Sex Roles,2012,1803
"Hillard, Amy",Amy, Hillard,female,Social Psychology of Education,2014,1838
"Gonzalez Ramos, Ana",Ana,Gonzalez Ramos,female,Journal of Organisational Transformation and Social Change,2017,1285
"Vila-Concejo, Ana",Ana,Vila-Concejo,female,Palgrave Communications,2018,1587
"Kulkarni, Anagha",Anagha,Kulkarni,female,ACM Conference on Innovation and Technology in Computer Science Education,2018,344
"Desai, Anand",Anand, Desai,male,Innovative Higher Education,2015,1604
"Walsh, Andrea",Andrea, Walsh,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,271
"Taylor, Andrea",Andrea, Taylor,female,American Journal of Physical Anthropology,2018,859
"Rommel, Andrea",Andrea, Rommel,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,328
"Gomoll, Andrea",Andrea,Gomoll,female,Journal of Science Education and Technology,2016,1675
"Keck, Andrea",Andrea, Keck,female,Journal of Educational Research,2014,1257
"Cimpian, Andrei",Andrei, Cimpian,male,Science,2014,24
"Cimpian, Andrei",Andrei, Cimpian,male,Frontiers in Psychology,2015,774
"Penner, Andrew",Andrew, Penner,male,Social Sciences,2017,1017
"Meltzoff, Andrew",Andrew, Meltzoff,male,Journal of educational psychology,2016,137
"Meltzoff, Andrew",Andrew, Meltzoff,male,Frontiers in psychology,2015,733
"Hickok, Andrew",Andrew, Hickok,male,Journal of Medical Internet Research,2013,855
"Meltzoff, Andrew",Andrew, Meltzoff,male,Journal of experimental child psychology,2017,585
"Meltzoff, Andrew",Andrew, Meltzoff,male,International Review of Social Psychology,2014,1869
"Molenda, Aneta",Aneta, Molenda,female,Psychology of Women Quarterly,2015,1472
"Hurst, Angas",Angas, Hurst,NA,Computer Science Education,2010,1219
"Gonzalez, Angel",Angel, Gonzalez,male,Journal of Social Issues,2011,1935
"Kelly, Angela",Angela, Kelly,female,Journal of Women and Minorities in Science and Engineering,2018,427
"Byars-Winston, Angela",Angela,Byars-Winston,female,Career Development Quarterly,2014,1902
"Kelly, Angela",Angela,Kelly,female,Physical Review Physics Education Research,2016,64
"Carbone, Angela",Angela, Carbone,female,Computer Science Education,2010,1218
"Kelly, Angela",Angela, Kelly,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,311
"Kelly, Angela",Angela,Kelly,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,318
"Ingraham, Angela",Angela, Ingraham,female,Journal of Medical Internet Research,2018,845
"Hodge, Angie",Angie, Hodge,female,International Review of Qualitative Research,2012,1872
