author,fname,lastn,gender,pubtitle,date,id,pubtype
"Schneider, Barbara",Barbara,Schneider,female,Frontiers in Psychology,2017,1149,journal
"King, Barbara",Barbara,King,female,Educational Researcher,2010,688,journal
"Kerr, Barbara",Barbara,Kerr,female,Journal of Psychoeducational Assessment,2012,675,journal
"King, Barbara",Barbara,King,female,Sex Roles,2016,689,journal
"Means, Barbara",Barbara,Means,female,Journal of Research in Science Teaching,2016,845,journal
"Grosz, Barbara",Barbara,Grosz,female,Cell Stem Cell,2015,492,journal
"Salmon, Barrington",Barrington,Salmon,male,Chronicle of Higher Education,2016,1832,journal
"Bozeman, Barry",Barry,Bozeman,male,Higher Education,2015,1483,journal
"Bozeman, Barry",Barry,Bozeman,male,Research in Higher Education,2016,1484,journal
"Francis, Becky",Becky,Francis,female,Sex Roles,2017,417,journal
"Francis, Becky",Becky,Francis,female,American Educational Research Journal,2017,416,journal
"Packard, Becky",Becky,Packard,female,Journal of Women and Minorities in Science and Engineering,2011,964,journal
"Packard, Becky",Becky,Packard,female,Community College Journal of Research & Practice,2012,962,journal
"Packard, Becky",Becky,Packard,female,Journal of Women and Minorities in Science and Engineering,2011,963,journal
"Yang, Beender",Beender,Yang,NA,Research and Practice in Technology Enhanced Learning,2017,1929,journal
"Aeschlimann, Belinda",Belinda,Aeschlimann,female,Empirical Research in Vocational Education and Training,2016,9,journal
"Drury, Benjamin",Benjamin,Drury,male,Psychological Inquiry,2011,1554,journal
"Wiggins, Benjamin",Benjamin,Wiggins,male,PLoS ONE,2016,1922,journal
"Drury, Benjamin",Benjamin,Drury,male,Psychology of Women Quarterly,2013,1555,journal
"Nagengast, Benjamin",Benjamin,Nagengast,male,Journal of educational psychology,2017,1763,journal
"Drury, Benjamin",Benjamin,Drury,male,Social Psychological and Personality Science,2011,1556,journal
"Park, Bernadette",Bernadette,Park,female,Educational Psychology,2018,971,journal
"Park, Bernadette",Bernadette,Park,female,Social Sciences,2018,975,journal
"Park, Bernadette",Bernadette,Park,female,Sex Roles,2016,974,journal
"Park, Bernadette",Bernadette,Park,female,Personality and Social Psychology Bulletin,2018,973,journal
"Park, Bernadette",Bernadette,Park,female,Journal of personality and social psychology,2017,972,journal
"Ertl, Bernhard",Bernhard,Ertl,NA,Frontiers in Psychology,2017,1570,journal
"Purcell, Bernice",Bernice,Purcell,female,Journal of Case Studies in Accreditation and Assessment,2014,1032,journal
"Schachter, Beth",Beth,Schachter,female,Cell Stem Cell,2015,1141,journal
"Casad, Betina",Betina,Casad,NA,Group Processes and Intergroup Relations,2018,204,journal
"Myers, Betsy",Betsy,Myers,female,Cell Stem Cell,2015,920,journal
"Casad, Bettina",Bettina,Casad,female,Sex Roles,2018,205,journal
"Watford, Bevlee",Bevlee,Watford,NA,Journal of vocational behavior,2015,1332,journal
"Bernstein, Bianca",Bianca,Bernstein,female,Journal of Career Assessment,2015,111,journal
"Bernstein, Bianca",Bianca,Bernstein,female,Social Sciences,2018,113,journal
"Bernstein, Bianca",Bianca,Bernstein,female,New Directions for Higher Education,2015,112,journal
"Karacora, Bilge",Bilge,Karacora,NA,Computers & Education,2016,655,journal
"Rincon, Blanca",Blanca,Rincon,female,Journal of College Student Development,2016,1068,journal
"London, Bonita",Bonita,London,female,Journal of Applied Social Psychology,2016,752,journal
"London, Bonita",Bonita,London,female,Sex Roles,2011,755,journal
"London, Bonita",Bonita,London,female,Psychological science,2013,754,journal
"London, Bonita",Bonita,London,female,Journal of Social Issues,2011,753,journal
"London, Bonita",Bonita,London,female,CBE Life Sciences Education,2016,751,journal
"Oppenheimer, Bonnie",Bonnie,Oppenheimer,female,JCOM: Journal of Science Communication,2009,952,journal
"Richley, Bonnie",Bonnie,Richley,female,"Community, Work & Family",2013,1061,journal
"Eledge, Bradley",Bradley,Eledge,male,PLoS ONE,2018,1565,journal
"Geisinger, Brandi",Brandi,Geisinger,female,International Journal of Engineering Education,2013,448,journal
"Dupont, Brandon",Brandon,Dupont,male,Journal of Economic Psychology,2008,1560,journal
"Hill, Brandon",Brandon,Hill,male,Journal of Science Education and Technology,2017,1643,journal
"Capobianco, Brenda",Brenda,Capobianco,female,Journal of Women and Minorities in Science and Engineering,2017,195,journal
"Brand, Brenda",Brenda,Brand,female,Insights on Learning Disabilities,2014,152,journal
"Jones, Brett",Brett,Jones,male,Social Psychology of Education,2013,1661,journal
"Nachman, Brett",Brett,Nachman,male,Frontiers in Psychology,2017,1762,journal
"Cash, Brian",Brian,Cash,male,Frontiers in Psychology,2017,1500,journal
"Rubineau, Brian",Brian,Rubineau,male,Work and Occupations,2018,1826,journal
"Rubineau, Brian",Brian,Rubineau,male,American Sociological Review,2011,1825,journal
"Nosek, Brian",Brian,Nosek,male,Frontiers in psychology,2015,1768,journal
"Flammang, Brian",Brian,Flammang,male,Group Processes and Intergroup Relations,2018,1577,journal
"Timmerman, Briana",Briana,Timmerman,female,Council on Undergraduate Research Quarterly,2011,1280,journal
"Struthers, Brice",Brice,Struthers,male,Community College Journal of Research & Practice,2016,1868,journal
"Gorman, Bridget",Bridget,Gorman,female,"Gender, Work and Organization",2017,479,journal
"Miller, Bridget",Bridget,Miller,female,Journal of experimental child psychology,2017,867,journal
"Bloodhart, Brittany",Brittany,Bloodhart,female,PLoS ONE,2017,135,journal
"Killion, Brooke",Brooke,Killion,female,Journal of Research in Science Teaching,2016,681,journal
"Dresden, Brooke",Brooke,Dresden,female,Social Sciences,2018,347,journal
"Jones, Bryan",Bryan,Jones,male,Communications of the Association for Information Systems,2018,1662,journal
"Minasny, Budiman",Budiman,Minasny,NA,Journal of Soil and Water Conservation,2008,1751,journal
"Price, C. Aaron",C. Aaron,Price,NA,Applied Developmental Science,2018,1029,journal
"Ozaki, C. Casey",C. Casey,Ozaki,NA,NASPA Journal About Women in Higher Education,2017,959,journal
"Handron, Caitlin",Caitlin,Handron,female,Sex Roles,2013,520,journal
"Anicha, Cali",Cali,Anicha,female,Journal of Women and Minorities in Science and Engineering,2012,38,journal
"Sublett, Cameron",Cameron,Sublett,male,Teachers College Record,2017,1869,journal
"Fabiyi, Camille",Camille,Fabiyi,female,Journal of Science Education and Technology,2017,386,journal
"Bilen-Green, Canan",Canan,Bilen-Green,male,Journal of Women and Minorities in Science and Engineering,2012,1475,journal
"Margherio, Cara",Cara,Margherio,female,Social Sciences,2018,801,journal
"Guest, Carly",Carly,Guest,female,Gender & Education,2016,497,journal
"Astorne-Figari, Carmen",Carmen,Astorne-Figari,female,Economics Letters,2018,50,journal
"Maldonado, Carmen",Carmen,Maldonado,female,American Society for Engineering Education,2007,792,journal
"Rodriguez, Carmen",Carmen,Rodriguez,female,Journal of vocational behavior,2013,1084,journal
